Voltage[DC]01:,"0.05
"
Voltage[DC]02:,"14.03
"
Voltage[DC]03,:,"24.00
"
Voltage[DC]04:,"14.03
"
,"
"
Voltage[DC]01:,"0.05
"
Voltage[DC]02:,"14.03
"
Voltage[DC]03,:,"24.00
"
Voltage[DC]04:,"14.03
"
,"
"
Voltage[DC]01:,"0.05
"
Voltage[DC]02:,"14.03
"
Voltage[DC]03,:,"24.00
"
Voltage[DC]04:,"14.03
"
,"
"
Voltage[DC]01:,"0.05
"
Voltage[DC]02:,"14.03
"
Voltage[DC]03,:,"24.00
"
Voltage[DC]04:,"14.03
"
,"
"
Voltage[DC]01:,"0.05
"
Voltage[DC]02:,"14.03
"
Voltage[DC]03,:,"24.00
"
Voltage[DC]04:,"14.03
"
,"
"
Voltage[DC]01:,"0.05
"
Voltage[DC]02:,"14.03
"
Voltage[DC]03,:,"24.00
"
Voltage[DC]04:,"14.03
"
,"
"
Voltage[DC]01:,"0.05
"
Voltage[DC]02:,"14.03
"
Voltage[DC]03,:,"24.00
"
Voltage[DC]04:,"14.03
"
,"
"
Voltage[AC]01:,"13.79
"
Voltage[AC]02:,"16.82
"
Voltage[AC]03:,"15.47
"
Voltage[AC]04:,"17.06
"
,"
"
Voltage[AC]01:,"13.90
"
Voltage[AC]02:,"16.72
"
Voltage[AC]03:,"15.11
"
Voltage[AC]04:,"16.75
"
,"
"
Voltage[AC]01:,"14.00
"
Voltage[AC]02:,"17.09
"
Voltage[AC]03:,"15.55
"
Voltage[AC]04:,"16.85
"
,"
"
Voltage[AC]01:,"13.76
"
Voltage[AC]02:,"16.70
"
Voltage[AC]03:,"15.18
"
Voltage[AC]04:,"16.77
"
,"
"
Voltage[AC]01:,"14.00
"
Voltage[AC]02:,"17.07
"
Voltage[AC]03:,"15.56
"
Voltage[AC]04:,"16.86
"
,"
"
Voltage[AC]01:,"13.83
"
Voltage[AC]02:,"16.69
"
Voltage[AC]03:,"15.19
"
Voltage[AC]04:,"16.75
"
,"
"
